id,name,logo,nationnal,country.id,country.name,country.code,country.flag
2813,Volgograd,https://media.api-sports.io/basketball/teams/2813.png,False,39.0,Russia,RU,https://media.api-sports.io/flags/ru.svg
605,AEK Athens,https://media.api-sports.io/basketball/teams/605.png,False,18.0,Greece,GR,https://media.api-sports.io/flags/gr.svg
970,BC Steaua Bucuresti,https://media.api-sports.io/basketball/teams/970.png,False,38.0,Romania,RO,https://media.api-sports.io/flags/ro.svg
718,Brindisi,https://media.api-sports.io/basketball/teams/718.png,False,23.0,Italy,IT,https://media.api-sports.io/flags/it.svg
530,Ludwigsburg,https://media.api-sports.io/basketball/teams/530.png,False,17.0,Germany,DE,https://media.api-sports.io/flags/de.svg
1028,Saratov,https://media.api-sports.io/basketball/teams/1028.png,False,39.0,Russia,RU,https://media.api-sports.io/flags/ru.svg
1736,Trabzonspor,https://media.api-sports.io/basketball/teams/1736.png,False,48.0,Turkey,TR,https://media.api-sports.io/flags/tr.svg
727,Trento,https://media.api-sports.io/basketball/teams/727.png,False,23.0,Italy,IT,https://media.api-sports.io/flags/it.svg
731,Venezia,https://media.api-sports.io/basketball/teams/731.png,False,23.0,Italy,IT,https://media.api-sports.io/flags/it.svg
2332,Fuenlabrada,https://media.api-sports.io/basketball/teams/2332.png,False,45.0,Spain,ES,https://media.api-sports.io/flags/es.svg
790,Lietkabelis,https://media.api-sports.io/basketball/teams/790.png,False,27.0,Lithuania,LT,https://media.api-sports.io/flags/lt.svg
2336,Murcia,https://media.api-sports.io/basketball/teams/2336.png,False,45.0,Spain,ES,https://media.api-sports.io/flags/es.svg
2335,MoraBanc Andorra,https://media.api-sports.io/basketball/teams/2335.png,False,45.0,Spain,ES,https://media.api-sports.io/flags/es.svg
1276,Tofas,https://media.api-sports.io/basketball/teams/1276.png,False,48.0,Turkey,TR,https://media.api-sports.io/flags/tr.svg
1577,Torino,https://media.api-sports.io/basketball/teams/1577.png,False,23.0,Italy,IT,https://media.api-sports.io/flags/it.svg
717,Brescia,https://media.api-sports.io/basketball/teams/717.png,False,23.0,Italy,IT,https://media.api-sports.io/flags/it.svg
16,Monaco,https://media.api-sports.io/basketball/teams/16.png,False,4.0,France,FR,https://media.api-sports.io/flags/fr.svg
1616,Mornar Bar,https://media.api-sports.io/basketball/teams/1616.png,False,29.0,Montenegro,ME,https://media.api-sports.io/flags/me.svg
